Indicator,2020,2021,2022
SyriaCases,78639.028,1113.852,1398.726
SyriaGDP,,,
TaiwanDeaths,0.97,16.909,18.545
TaiwanCases,90.96,515.059,705.083
TaiwanGDP,,,
TajikistanDeaths,510.195,4.301,3.408
TajikistanCases,324858.226,899.332,409.13
TajikistanGDP,2896.913,2896.913,2896.913
TanzaniaDeaths,0.321,0,11.895
TanzaniaCases,7.771,0,508.505
TanzaniaGDP,2683.304,2683.304,2683.304
ThailandDeaths,1.499,17.77,345.207
ThailandCases,138.737,2540.002,51581.735
ThailandGDP,16277.671,16277.671,16277.671
TimorDeaths,96.885,12.679,84.264
TimorCases,11431.272,5770.536,11245.086
TimorGDP,6570.102,6570.102,6570.102
TogoDeaths,7.437,12.656,16.611
TogoCases,399.65,1474.415,2645.908
TogoGDP,1429.813,1429.813,1429.813
TongaDeaths,0,0,84.217
TongaCases,0,0,71724.669
TongaGDP,,5425.621,5425.621
Trinidad and TobagoDeaths,33.296,363.131,2093.999
Trinidad and TobagoCases,79773.606,17030.87,73939.792
Trinidad and TobagoGDP,28763.071,28763.071,28763.071
TunisiaDeaths,320.735,1040.227,1256.313
TunisiaCases,29778.188,28424.467,55442.585
TunisiaGDP,10849.297,10849.297,10849.297
TurkeyDeaths,121.831,507.062,589.579
TurkeyCases,10837.011,50159.236,112924.05
TurkeyGDP,25129.341,25129.341,25129.341
TurkmenistanDeaths,0,35.225,0
TurkmenistanCases,0,23578.985,0
TurkmenistanGDP,,16389.023,16389.023
TuvaluDeaths,0,0,0
TuvaluCases,0,11350.216,0
TuvaluGDP,,3575.104,3575.104
UgandaDeaths,0,7.636,68.546
UgandaCases,2040.157,988.991,2471.393
UgandaGDP,1697.707,1697.707,1697.707
UkraineDeaths,18.248,1304.934,1571.9
UkraineCases,702.003,56333.529,74000.546
UkraineGDP,7894.393,7894.393,7894.393
United Arab EmiratesDeaths,102.443,149.719,66.667
United Arab EmiratesCases,13677.064,56570.832,34288.666
United Arab EmiratesGDP,67293.483,67293.483,67293.483
United KingdomDeaths,772.464,1516.244,556.152
United KingdomCases,19335.532,62694.753,231985.51
United KingdomGDP,39753.244,39753.244,39753.244
United StatesDeaths,559.877,1433.878,1157.304
United StatesCases,48233.616,93506.761,138333.369
United StatesGDP,54225.446,54225.446,54225.446
United States Virgin IslandsDeaths,270.297,0,0
United States Virgin IslandsCases,51667.946,0,0
United States Virgin IslandsGDP,,,
UruguayDeaths,44.695,1154.304,928.159
UruguayCases,7933.842,79196.074,178653.65
UruguayGDP,20551.409,20551.409,20551.409
UzbekistanDeaths,107.885,19.287,27.686
UzbekistanCases,31412.549,2757.705,4010.811
UzbekistanGDP,6253.104,6253.104,6253.104
VanuatuDeaths,0,3.06,0
VanuatuCases,36.849,181.068,5202.845
VanuatuGDP,2921.909,2921.909,2921.909
VaticanDeaths,39.783,0,0
VaticanCases,46343.994,18564.356,2475.248
VaticanGDP,,,
VenezuelaDeaths,0.565,87.375,112.648
VenezuelaCases,31.164,7779.038,10556.09
VenezuelaGDP,16745.022,16745.022,16745.022
VietnamDeaths,5.261,0.405,426.828
VietnamCases,926.524,45.673,82342.515
VietnamGDP,6171.884,6171.884,6171.884
WorldDeaths,43.46,400.117,319.044
WorldCases,255954.148,19971.214,38196.634
WorldGDP,15469.207,15469.207,15469.207
YemenDeaths,60.064,37.809,25.113
YemenCases,20175.096,191.148,155.172
YemenGDP,1479.147,1479.147,1479.147
ZambiaDeaths,0.887,62.612,135.005
